Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
0	-0.013833081	991.93335	0.0	0.23333333	0.06666667	7.0	0.00023333333333333333	0.02623032	30000	-5.086263e-10	0.030823527	-9.536743e-07	-0.0018667977	-0.014201283	-0.079133004	0.91893816	0.012947364	147.24877405166626
1	0.2923083	919.1875	0.0	0.4375	0.125	21.0	0.00035	-0.0010353834	60000	-1.3224284e-08	0.032016724	-3.5762787e-07	-0.002130843	-0.0075073484	-0.0934076	0.91896266	0.015749363	362.08056449890137
2	0.33716	877.6177	0.0	0.47058824	0.14705883	37.0	0.0004111111111111111	0.04217509	90000	-5.5948894e-09	0.031386178	1.6829547e-07	-0.0024052358	-0.003564367	-0.0076424372	0.9188609	0.0020387205	589.6205639839172
3	0.5296045	872.05884	8.2085965e-31	0.32352942	0.11764706	48.0	0.0004	0.025995657	120000	2.5431315e-09	0.029556401	-3.646402e-07	-0.005573543	-0.004555827	-0.20963897	0.91863555	0.013475017	812.4658699035645
4	0.95756197	926.84375	2.2702218e-10	1.375	0.21875	92.0	0.0006133333333333334	0.055597104	150000	-3.051758e-09	0.04317916	-1.3411045e-07	-0.0054647895	-0.021674719	-0.13915902	0.9179296	0.018940516	1034.5775065422058
5	0.8822884	847.4286	0.0	0.34285715	0.114285715	104.0	0.0005777777777777778	0.08869708	180000	-9.409587e-09	0.030246021	0.0	-0.0056453613	-0.005488543	-0.19870947	0.9181474	0.017559526	1254.3518645763397
6	1.3513649	749.2308	3e-45	0.3846154	0.07692308	119.0	0.0005666666666666667	0.101753525	210000	-1.7293294e-08	0.05088253	2.4453188e-08	-0.006641418	-0.017458852	-0.012632052	0.9199043	0.008128782	1476.5806171894073
7	1.5821835	587.0	0.0	0.04	0.02	121.0	0.0005041666666666667	0.22483714	240000	-1.0172526e-09	0.035918146	-1.9073486e-08	-0.008872386	-0.0072085187	-0.2936914	0.91982657	0.011254306	1712.7163472175598
8	1.8944192	569.4314	5.700314e-18	0.21568628	0.11764706	132.0	0.0004888888888888889	0.28103918	270000	-7.1207684e-09	0.03850568	-6.731819e-07	-0.006477299	-0.009848341	-0.03234751	0.9193939	0.015409626	1947.013304233551
9	1.7886392	582.9804	2.53484e-16	0.23529412	0.039215688	144.0	0.00048	0.27361557	300000	-1.0172526e-08	0.032599397	-3.3659094e-07	-0.007477662	-0.005005285	-0.035696145	0.9176111	0.010963678	2176.077312707901
