Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
0	0.18516332	879.8485	3.3691016e-05	0.54545456	0.15151516	18.0	0.0006	-0.06505941	30000	-1.3224284e-08	0.16736417	1.0259224e-06	-0.0012395416	-0.07811105	-0.054043118	0.91893816	0.015180611	140.80056381225586
1	0.19155002	927.59375	0.0	1.03125	0.15625	51.0	0.00085	-0.0030946126	60000	6.103516e-09	0.069879085	-3.1664968e-07	-0.0025919636	-0.019835245	-0.031200375	0.9175094	0.012389571	347.43517661094666
2	0.18937667	898.0303	0.00065584894	1.1515151	0.15151516	89.0	0.000988888888888889	0.013415055	90000	8.138021e-09	0.066503696	2.3119378e-07	-0.0020999457	-0.011763267	-0.1906751	0.9173028	0.012273946	564.7914776802063
3	0.23630601	922.5	0.0	0.5625	0.09375	107.0	0.0008916666666666667	0.006621356	120000	3.941854e-09	0.055298675	4.4703484e-07	-0.0016190917	-0.009290252	-0.0032682717	0.917592	0.0034557956	789.4144306182861
4	0.1034683	904.7879	2.1625626e-19	1.1212121	0.24242425	144.0	0.00096	0.047543116	150000	-1.2207032e-08	0.056325123	2.1674417e-07	-0.0009609619	-0.017461546	-0.000639771	0.9172238	0.00010547708	1009.5668151378632
5	0.32813686	914.34375	4.4819185e-20	1.0625	0.25	178.0	0.000988888888888889	0.011562259	180000	-5.5948894e-09	0.038462285	-1.1920929e-07	-0.0041918936	-0.00407907	-0.123732924	0.9171235	0.013442698	1243.5897250175476
6	1.1308185	783.0526	0.00088690425	0.8947368	0.21052632	212.0	0.0010095238095238095	0.083094485	210000	-4.0690105e-09	0.06287452	-3.011603e-07	-0.0050386167	-0.011623647	-0.024912382	0.9169163	0.009430629	1478.4306995868683
7	1.0461346	713.6585	0.049700614	0.4878049	0.14634146	232.0	0.0009666666666666667	0.15759923	240000	1.373291e-08	0.08180618	-3.7216557e-07	-0.006828984	-0.016967356	-0.08894264	0.91801226	0.017244104	1702.2396097183228
8	1.1580843	729.60974	1.8177961e-06	0.58536583	0.19512194	256.0	0.0009481481481481482	0.14622213	270000	2.0345052e-09	0.06266989	4.6520697e-08	-0.0043596067	-0.014165632	-0.095850244	0.9165704	0.012592259	1926.4770085811615
9	0.87644356	772.2105	0.0	0.55263156	0.13157895	277.0	0.0009233333333333333	0.120148726	300000	1.0172526e-08	0.046255723	-5.0193385e-08	-0.0058441195	-0.0072907396	-0.20187156	0.91763985	0.016085194	2144.7298645973206
10	1.2018535	708.7857	0.0	0.16666667	0.071428575	284.0	0.0008606060606060606	0.14204651	330000	1.525879e-09	0.054255914	1.8165225e-07	-0.005772188	-0.013739996	-0.11294626	0.9164485	0.009802628	2368.5441040992737
11	1.4033574	707.9048	0.0	0.3809524	0.14285715	300.0	0.0008333333333333334	0.1626255	360000	-5.086263e-10	0.04205727	0.0	-0.0061817584	-0.013050199	-0.2087228	0.91637635	0.009563133	2592.118035554886
12	1.5701244	643.0217	3.714933e-21	0.3478261	0.10869565	316.0	0.0008102564102564103	0.18055636	390000	2.3905436e-08	0.037264984	1.243923e-07	-0.006555866	-0.00892763	-0.3029406	0.91486156	0.013965856	2817.8224635124207
13	1.5831947	642.913	6.344796e-07	0.36956522	0.10869565	333.0	0.0007928571428571429	0.20881684	420000	1.0172526e-08	0.04040538	-9.3294226e-08	-0.0013921793	-0.010958483	-0.06887787	0.9108479	0.016019445	3040.6125020980835
14	1.6081465	620.1702	0.0	0.06382979	0.04255319	336.0	0.0007466666666666666	0.26709908	450000	8.138021e-09	0.034000006	4.0581885e-08	-0.00489198	-0.0067076217	-0.09928037	0.9103839	0.0118984375	3263.7096865177155
15	1.6249315	563.36536	1.5253777e-11	0.13461539	0.07692308	343.0	0.0007145833333333333	0.21877606	480000	-6.103516e-09	0.032994777	-3.3011804e-07	-0.008371205	-0.009253012	-0.055781733	0.90851027	0.014791484	3478.8056852817535
16	1.8885803	555.3585	3.56e-43	0.11320755	0.056603774	349.0	0.0006843137254901961	0.26276374	510000	1.1444092e-09	0.02439201	3.238894e-07	-0.007510315	-0.0065842085	-0.1610654	0.9088521	0.0113971	3696.810608625412
17	1.7673202	547.283	0.00023698196	0.33962265	0.13207547	367.0	0.0006796296296296296	0.28033945	540000	1.0172526e-08	0.028525334	-7.197542e-08	-0.00835682	-0.005682502	-0.20217586	0.90582085	0.009045995	3919.1948957443237
18	1.9935619	508.15518	0.0003664828	0.13793103	0.06896552	375.0	0.0006578947368421052	0.30349925	570000	-1.373291e-08	0.02708643	-1.3154128e-07	-0.0043348763	-0.006751666	-0.18409735	0.9021427	0.010786239	4142.169532060623
19	2.1698148	486.4754	0.0	0.22950819	0.08196721	389.0	0.0006483333333333333	0.3415864	600000	-1.3224284e-08	0.024399173	3.126801e-08	-0.007643517	-0.0059144925	-0.24880667	0.89902985	0.008498103	4374.92423415184
20	2.1702707	438.05884	1.548e-41	0.16176471	0.05882353	400.0	0.0006349206349206349	0.40518185	630000	2.5431315e-09	0.025597788	4.4878792e-07	-0.007292397	-0.005079236	-0.15822874	0.8984577	0.015367129	4601.944918394089
21	2.0101726	415.31946	7.1246544e-22	0.6111111	0.083333336	444.0	0.0006727272727272728	0.43188834	660000	2.0345052e-09	0.03948427	-2.6490953e-08	-0.0033381495	-0.009888586	-0.1389904	0.89655346	0.019424276	4839.559618711472
22	2.1529222	399.9189	1.5345076e-05	0.08108108	0.027027028	450.0	0.0006521739130434783	0.4436103	690000	3.8146974e-10	0.028676637	4.381747e-07	-0.003955386	-0.0051756036	-0.16242896	0.89329857	0.010404393	5066.939205169678
23	2.0544407	377.98734	7.946804e-05	0.088607594	0.03797468	457.0	0.0006347222222222222	0.42718926	720000	4.0690105e-09	0.034119118	-3.6215482e-08	-0.0008289551	-0.008691033	-0.12917009	0.8916223	0.016437227	5295.150780439377
24	1.9944224	452.81818	8.66697e-26	0.045454547	0.030303031	460.0	0.0006133333333333334	0.4291203	750000	-8.138021e-09	0.027410487	1.7339534e-07	-0.005647315	-0.006967986	-0.16595845	0.89196557	0.017631816	5513.60714840889
25	1.7705883	373.2125	0.0	0.1375	0.0875	471.0	0.0006038461538461538	0.36566323	780000	-1.3224284e-08	0.040580537	-2.3841858e-08	-0.00075530447	-0.013991499	-0.11105223	0.88970876	0.0114248	5747.905311584473
26	1.8794045	503.48276	0.0017433973	0.13793103	0.06896552	479.0	0.0005913580246913581	0.33555162	810000	-7.1207684e-09	0.024691146	-6.577064e-08	-0.0037351002	-0.0030548014	-0.14533645	0.88914895	0.011896727	5965.256948709488
27	1.9574591	473.80646	0.0	0.032258064	0.016129032	481.0	0.0005726190476190476	0.35480484	840000	9.536743e-09	0.040148187	9.229106e-08	-0.010426686	-0.008065134	-0.2140751	0.8862064	0.01460907	6182.166624546051
28	2.3119743	340.3793	9.040388e-23	0.09195402	0.04597701	489.0	0.0005620689655172413	0.46362898	870000	-1.0172526e-08	0.04277077	-4.3847095e-08	-0.011123997	-0.018159607	-0.25856176	0.8828512	0.015420947	6408.840674161911
29	2.1293738	372.48102	0.0	0.11392405	0.050632913	498.0	0.0005533333333333333	0.47166687	900000	1.1189779e-08	0.027370587	-1.2071827e-07	0.001982041	-0.0048472267	-0.165741	0.8834188	0.011685699	6630.082137346268
30	2.117273	320.1868	6.8918664e-34	0.032967035	0.010989011	501.0	0.0005387096774193548	0.5313721	930000	-1.0172526e-08	0.026758263	-1.5719907e-08	0.00050036114	-0.0064581037	-0.08913853	0.884321	0.009964454	6857.65718126297
31	2.0375667	428.04285	0.0	0.0	0.0	501.0	0.000521875	0.41467202	960000	-1.93278e-08	0.026968278	-4.359654e-07	-0.010440909	-0.004391942	-0.21202679	0.8854504	0.01750099	7069.510144948959
32	2.331189	284.60953	1.9292802e-10	0.18095239	0.0952381	520.0	0.0005252525252525252	0.57918227	990000	-4.0690105e-09	0.032189462	2.2706533e-07	-0.009524988	-0.008557249	-0.2872564	0.8823772	0.014065037	7300.4553508758545
33	2.3515759	255.55173	7.1259296e-13	0.112068966	0.05172414	533.0	0.0005225490196078431	0.64406824	1020000	-1.0172526e-08	0.026636643	5.754931e-08	0.0010334859	-0.008412089	-0.27577642	0.879793	0.019738803	7549.736670732498
34	2.244125	364.7073	0.0	0.5243902	0.09756097	576.0	0.0005485714285714285	0.54212147	1050000	2.0345052e-09	0.03158282	3.2564486e-07	-0.003835373	-0.00788993	-0.27004275	0.8814268	0.019001203	7767.933853626251
35	2.156662	373.9	1.3938431e-15	0.0375	0.025	579.0	0.0005361111111111111	0.4820646	1080000	-7.1207684e-09	0.04981111	-2.861023e-07	-0.0048072124	-0.012600485	-0.21350594	0.88066083	0.0143917035	7981.544900894165
36	2.045882	361.16867	4.6539884e-37	0.30120483	0.072289154	604.0	0.0005441441441441442	0.47483918	1110000	4.0690105e-09	0.051961288	1.7235078e-07	0.0041616294	-0.018896256	-0.17515703	0.8798331	0.0148024345	8201.311010837555
37	2.209786	373.175	1.2609736e-19	0.0625	0.025	609.0	0.0005342105263157895	0.5046501	1140000	-1.525879e-08	0.051011954	-2.861023e-07	-0.007046713	-0.017282423	-0.2470758	0.8760177	0.0154493265	8421.965346097946
38	1.9554629	384.20514	0.0	0.21794872	0.012820513	626.0	0.000535042735042735	0.4223219	1170000	-1.2207032e-08	0.06755615	2.9343826e-07	-0.008809294	-0.027116526	-0.2658561	0.87487143	0.018607428	8637.621987342834
39	1.6876485	357.6265	0.0	0.13253012	0.036144577	637.0	0.0005308333333333334	0.35919055	1200000	-1.525879e-09	0.09655929	-5.7450256e-07	-0.0028119227	-0.03349457	-0.25958285	0.8728135	0.01018493	8858.774119853973
40	1.6843946	481.24194	8.09186e-35	0.048387095	0.032258064	640.0	0.0005203252032520325	0.34013036	1230000	2.5431315e-09	0.16494662	9.229106e-08	-0.01590731	-0.0783741	-0.18925017	0.87094295	0.017260041	9062.243616104126
41	2.0103157	331.94446	0.0	0.033333335	0.022222223	643.0	0.0005103174603174603	0.41864535	1260000	7.1207684e-09	0.07767158	3.1789146e-08	-0.0023421063	-0.029842526	-0.10195649	0.87300366	0.008645904	9285.660829305649
42	1.7095114	350.17856	0.0	0.16666667	0.023809524	657.0	0.0005093023255813954	0.3766732	1290000	1.3224284e-08	0.07781898	2.9518492e-07	-0.01113426	-0.026635453	-0.2654075	0.8725883	0.012278568	9502.263424158096
43	2.0012999	272.8532	2.9891905e-07	0.036697246	0.018348623	661.0	0.0005007575757575757	0.45269826	1320000	2.5431315e-09	0.07711367	1.749861e-08	0.00027002845	-0.035216838	-0.18758218	0.871724	0.014321826	9736.985202550888
44	2.407676	341.30588	0.0	0.023529412	0.023529412	663.0	0.0004911111111111111	0.55796427	1350000	1.6530355e-09	0.07854367	-4.4878792e-08	-0.004919869	-0.03047593	-0.22780295	0.87120044	0.008338978	9950.223820924759
45	2.2596002	282.0	8.169389e-24	0.094339624	0.028301887	673.0	0.00048768115942028986	0.55725425	1380000	1.0172526e-08	0.051296774	2.6990784e-07	-0.0035521395	-0.017159306	-0.25646946	0.87169355	0.009615895	10185.041003704071
46	2.2424693	337.42044	0.0	0.056818184	0.022727273	678.0	0.00048085106382978723	0.5294108	1410000	-7.629395e-09	0.078154996	-8.669767e-08	-0.002568373	-0.025864221	-0.21810117	0.87034416	0.012040417	10402.591909646988
47	1.8872532	317.9785	0.0	0.0	0.0	678.0	0.00047083333333333336	0.42139703	1440000	1.525879e-09	0.08384881	1.2305475e-07	-0.00846868	-0.027333379	-0.24869713	0.8685446	0.012248366	10619.217576265335
48	1.795246	319.40216	0.0	0.04347826	0.02173913	682.0	0.0004639455782312925	0.37391585	1470000	0.0	0.101729736	-1.3475832e-07	-0.007939328	-0.028125308	-0.22088943	0.8682979	0.010107081	10843.628866434097
49	2.1144416	258.64346	3.4721e-11	0.07826087	0.034782607	691.0	0.0004606666666666667	0.52255267	1500000	-1.525879e-09	0.059700873	5.9708304e-07	-0.001087116	-0.018611748	-0.26561064	0.86512494	0.018411735	11085.13634610176
50	2.1601486	289.48544	2.10216e-40	0.21359223	0.048543688	713.0	0.0004660130718954248	0.5999453	1530000	1.4241537e-08	0.14006025	-1.1110769e-07	-0.0054286644	-0.04813534	-0.30068347	0.86234665	0.0141464155	11316.851253271103
51	2.235646	294.0392	4.18777e-40	0.04901961	0.029411765	718.0	0.00046025641025641026	0.5215084	1560000	2.0345052e-09	0.14549899	-6.357829e-07	-0.008811311	-0.06498572	-0.21147703	0.85991955	0.013140001	11542.699248790741
52	2.0548744	289.7864	0.0	0.116504855	0.029126214	730.0	0.0004591194968553459	0.47426042	1590000	4.0690105e-09	0.16115661	5.5553846e-07	-0.013377508	-0.0753598	-0.37988293	0.8562358	0.015774786	11776.59005522728
53	1.7771055	275.99066	2.457869e-23	0.009345794	0.009345794	731.0	0.00045123456790123457	0.39111763	1620000	-7.1207684e-09	0.13213313	2.4064678e-07	-0.00020084789	-0.039685316	-0.19725452	0.8519866	0.011509261	12006.290304660797
54	1.866898	270.87274	0.0	0.018181818	0.009090909	733.0	0.00044424242424242425	0.5205707	1650000	-3.051758e-09	0.10230008	1.7339532e-08	0.0012351914	-0.035704777	-0.2670173	0.85041434	0.01595848	12236.95264339447
55	2.422407	259.78262	0.0	0.35652173	0.026086956	774.0	0.0004607142857142857	0.7002889	1680000	1.7801921e-09	0.0559471	1.700028e-07	0.0024484275	-0.029054245	-0.19015299	0.8470622	0.016008599	12472.342968702316
56	1.1322504	344.62354	1.294982e-05	0.5529412	0.03529412	821.0	0.00048011695906432746	0.5753499	1710000	5.5948894e-09	0.66854703	-2.6927276e-07	-0.0042376067	-0.57918745	-0.2561232	0.8463291	0.010121786	12697.322173833847
57	1.6638981	337.86365	2.14044e-40	0.53409094	0.045454547	868.0	0.0004988505747126437	0.21484882	1740000	-1.4050801e-08	0.117201276	1.08372085e-07	-0.0045319195	-0.062058233	-0.38858002	0.84612304	0.016324772	12920.236474990845
58	1.511571	409.47946	8.3673886e-29	0.15068494	0.05479452	879.0	0.0004966101694915254	0.25387183	1770000	-8.90096e-09	0.08800346	1.3064032e-07	-0.0142094875	-0.03335522	-0.30432868	0.8499181	0.013360534	13125.855859994888
59	2.0932794	391.78946	5.866737e-28	1.0263158	0.039473683	957.0	0.0005316666666666666	0.38937852	1800000	4.577637e-09	0.07553249	-1.0038677e-07	-0.0118596535	-0.042260297	-0.27169254	0.85015845	0.016772779	13335.735362052917
60	2.472532	298.74747	4.7888097e-08	0.42424244	0.04040404	999.0	0.0005459016393442623	0.51718557	1830000	1.9073486e-08	0.05748295	5.394521e-07	-0.013364465	-0.029564207	-0.3049808	0.8508958	0.0100098	13555.4054043293
61	2.3592422	263.74338	1.1839515e-22	0.3539823	0.044247787	1039.0	0.0005586021505376344	0.6514987	1860000	-8.138021e-09	0.05282944	1.3503353e-07	-0.0021782205	-0.018380407	-0.38481534	0.84934336	0.020221354	13787.935411214828
62	2.2618537	279.32712	2.3238393e-08	0.8130841	0.056074765	1126.0	0.0005957671957671957	0.57693064	1890000	7.629395e-10	0.0900931	7.130275e-08	-0.015314775	-0.047956314	-0.2817073	0.8492755	0.020969803	14010.91551232338
63	2.4630482	290.52426	4.9278082e-08	0.34951457	0.058252428	1162.0	0.0006052083333333334	0.6269249	1920000	5.086263e-09	0.08038451	-1.6666154e-07	-0.008824038	-0.0432951	-0.28371087	0.84810835	0.011739671	14235.9023168087
64	2.4914742	302.57574	8.0888e-40	0.01010101	0.01010101	1163.0	0.0005964102564102564	0.6045025	1950000	4.577637e-09	0.04465214	5.7798445e-08	-0.0029331504	-0.01358119	-0.25363418	0.84912646	0.012070923	14455.367807149887
65	2.4982333	269.3243	7.5194495e-12	0.054054055	0.018018018	1169.0	0.0005904040404040404	0.6512966	1980000	-9.918213e-09	0.045617685	-8.591661e-08	-0.005140593	-0.019215278	-0.39032257	0.8477487	0.017828958	14684.464635848999
66	2.463334	265.33627	0.0011202324	0.17699115	0.03539823	1189.0	0.000591542288557214	0.6975712	2010000	0.0	0.03798956	-1.6879191e-07	0.00074995117	-0.014340296	-0.19743992	0.84935313	0.020580547	14913.65039563179
67	2.5531938	280.69812	1.383461e-39	0.3773585	0.03773585	1229.0	0.0006024509803921568	0.68778974	2040000	1.6530356e-08	0.035518374	2.1592626e-07	-0.0071355132	-0.010517117	-0.2849839	0.84735525	0.0104229	15139.00823044777
68	2.4743023	244.66116	0.0015899612	0.016528925	0.016528925	1231.0	0.0005946859903381643	0.6796326	2070000	6.103516e-09	0.04059136	2.2068495e-07	-0.0107763335	-0.013111936	-0.3200927	0.8465398	0.01603845	15373.008005857468
