Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
0	0.18516332	879.8485	3.3691016e-05	0.54545456	0.15151516	18.0	0.0006	-0.06505941	30000	-1.3224284e-08	0.16736417	1.0259224e-06	-0.0010813267	-0.07811105	-0.044805598	0.91893816	0.010320335	80.3291015625
1	-0.24168544	933.84375	5.6605904e-21	0.78125	0.1875	43.0	0.0007166666666666667	-0.01011293	60000	1.0172526e-09	0.06948211	-4.7683716e-07	-0.0008810211	-0.0159016	-0.0045083463	0.91754204	5.700969e-05	166.25347590446472
2	0.12277083	953.5484	0.0062868195	0.67741936	0.16129032	64.0	0.0007111111111111111	-0.006177873	90000	4.0690105e-09	0.060081623	-7.383285e-07	-0.0038491373	-0.00853933	-0.060233083	0.91784406	0.008175888	243.79068422317505
3	0.380055	907.8182	0.07584131	0.8484849	0.15151516	92.0	0.0007666666666666667	0.022581514	120000	-6.612142e-09	0.073718034	2.3119378e-07	-0.007267814	-0.013580546	-0.32551172	0.91658384	0.017589279	321.8372976779938
4	0.7050752	897.3939	2.0282155e-08	0.90909094	0.24242425	122.0	0.0008133333333333333	0.057528652	150000	1.4241537e-08	0.067376584	-6.7913174e-07	-0.004148684	-0.0144925825	-0.07311889	0.91750145	0.008775266	400.5820016860962
5	0.8327696	832.3611	1.1362208e-31	1.4444444	0.25	174.0	0.0009666666666666667	0.06407925	180000	-1.2207032e-08	0.047576815	1.7219119e-07	-0.0027457357	-0.008011501	-0.0091354055	0.91618305	0.0014064708	507.64421796798706
6	1.116902	818.8889	0.0	0.7777778	0.19444445	208.0	0.0009904761904761905	0.11275998	210000	-4.0690105e-09	0.049057513	-2.9140048e-07	-0.003958136	-0.005394552	-0.0025458864	0.9164809	0.006391859	613.3366210460663
7	0.9221277	806.67566	2.5164432e-20	0.5675676	0.13513513	231.0	0.0009625	0.12475399	240000	5.5948894e-09	0.06192013	6.4437455e-09	-0.0038964637	-0.008148972	-0.017599499	0.91611964	0.009093736	696.3801414966583
8	1.5069103	664.73334	9.711046e-09	0.51111114	0.13333334	254.0	0.0009407407407407408	0.17240576	270000	0.0	0.051398914	0.0	-0.0036968344	-0.012121692	-0.082442135	0.9158708	0.009061033	779.398161649704
9	1.3364279	680.7727	9.32091e-06	0.38636363	0.13636364	271.0	0.0009033333333333334	0.16139251	300000	4.0690105e-09	0.045568567	4.1181391e-07	-0.005293824	-0.011064488	-0.01174114	0.9146039	0.0029896563	887.9390640258789
10	1.7716306	630.8723	2.1093831e-33	0.31914893	0.08510638	286.0	0.0008666666666666666	0.23730004	330000	2.0345052e-09	0.043460816	3.2465508e-07	-0.005940757	-0.008244783	-0.041659374	0.9132862	0.008850513	997.6387348175049
11	1.8271964	588.68	1.1162941e-25	0.64	0.16	318.0	0.0008833333333333333	0.26288393	360000	1.4241537e-08	0.04113338	1.9073485e-07	-0.004346581	-0.010871919	-0.08739431	0.9138387	0.008164022	1108.1459670066833
12	1.5243101	648.63043	0.0063908333	1.0217391	0.19565217	365.0	0.0009358974358974359	0.19658735	390000	6.612142e-09	0.03137042	8.29282e-08	-0.008633019	-0.007332204	-0.0012697966	0.91284597	0.0054312143	1217.2938814163208
13	1.9395671	544.5926	1.8251755e-07	0.2962963	0.055555556	381.0	0.0009071428571428571	0.3146461	420000	-2.2379558e-08	0.029527996	5.2981907e-08	-0.008824971	-0.0056193694	-0.13968417	0.91323465	0.008716937	1304.8014552593231
14	2.1450338	467.3125	6.106975e-08	0.375	0.109375	405.0	0.0009	0.3525965	450000	1.0172526e-09	0.036706522	1.7881393e-07	-0.0072389212	-0.009945141	-0.08912116	0.9105525	0.013012308	1399.9884836673737
15	1.9680256	521.8596	0.0	0.0	0.0	405.0	0.00084375	0.35429955	480000	-1.373291e-08	0.028824663	-6.6924514e-08	-0.008179938	-0.004277829	-0.021950286	0.90894014	0.011386445	1513.2373268604279
16	2.115556	458.90768	1.28319135e-11	0.72307694	0.12307692	452.0	0.0008862745098039216	0.33075944	510000	-5.086263e-10	0.036565106	-1.0270339e-07	-0.008865821	-0.009248031	-0.26949298	0.9070692	0.013763922	1629.8532891273499
17	2.4022317	410.9589	1.924498e-26	0.43835616	0.09589041	484.0	0.0008962962962962963	0.4742362	540000	-6.612142e-09	0.044631213	-2.6128063e-08	-0.005970672	-0.015434025	-0.1083733	0.9025909	0.011103229	1750.4375863075256
18	2.480641	424.71014	1.6983764e-10	0.49275362	0.17391305	522.0	0.0009157894736842105	0.48312917	570000	5.086263e-09	0.038085315	-1.243923e-07	-0.0033171764	-0.0068038665	-0.07924445	0.8991134	0.011218683	1838.9370131492615
19	2.4890225	365.2439	1.217073e-14	0.9878049	0.19512194	603.0	0.001005	0.56223243	600000	9.6639e-09	0.034181662	-2.7912418e-07	-0.003807653	-0.0065536015	-0.1641025	0.8953173	0.012621464	1942.8609607219696
20	2.3102255	347.47675	0.003069225	0.6627907	0.08139535	660.0	0.0010476190476190477	0.5583012	630000	6.103516e-09	0.033033125	7.4852345e-08	-0.011725336	-0.006634673	-0.03873877	0.8927178	0.01035459	2069.518710374832
21	2.2599459	340.4659	4.134895e-31	0.53409094	0.09090909	707.0	0.0010712121212121213	0.51530194	660000	-1.1189779e-08	0.03727767	8.669767e-08	-0.007640127	-0.010933407	-0.09602322	0.8902108	0.009155396	2196.650416135788
22	2.4306073	323.51648	2.3655672e-19	0.53846157	0.0989011	756.0	0.0010956521739130434	0.5656951	690000	-1.0172526e-08	0.037446134	3.6679783e-08	-0.009198253	-0.007950552	-0.09457749	0.8877388	0.016722903	2324.837640285492
23	2.4544907	273.21295	1.6725949e-15	0.28703704	0.10185185	805.0	0.0011180555555555555	0.7144569	720000	1.7293294e-08	0.0664631	1.9426699e-07	-0.012618414	-0.027061567	-0.14839739	0.88418204	0.017030532	2461.5506098270416
24	2.6314955	362.18292	1.2843812e-10	0.8780488	0.20731707	877.0	0.0011693333333333334	0.62160397	750000	-6.103516e-09	0.06752348	-1.1630174e-07	-0.006739736	-0.018756296	-0.12888654	0.880366	0.01158354	2554.3492407798767
25	2.5393305	306.23157	0.00755345	0.55789477	0.15789473	930.0	0.0011923076923076924	0.6621728	780000	-2.7974447e-09	0.058703214	-4.4170181e-07	-0.011754326	-0.010282461	-0.14941977	0.8795233	0.01138881	2686.5322115421295
26	2.4441128	245.16394	2.1995964e-13	0.6721311	0.08196721	1012.0	0.0012493827160493828	0.7361536	810000	-2.5431315e-09	0.049593084	-2.8141207e-07	-0.010062154	-0.017498206	-0.08363142	0.8764746	0.016922424	2799.1501619815826
27	2.5394437	260.0261	2.394261e-09	0.53913045	0.12173913	1074.0	0.0012785714285714286	0.79707277	840000	-3.051758e-09	0.08420503	-1.1609948e-07	-0.009290276	-0.026988722	-0.14417198	0.8742461	0.014225635	2932.8485581874847
28	2.4313622	199.47652	0.017791165	0.8993289	0.093959734	1208.0	0.0013885057471264368	0.8380786	870000	6.103516e-09	0.08069275	-1.0240798e-07	-0.009793844	-0.029624693	-0.124762006	0.86989415	0.011237199	3090.3930735588074
29	2.4988074	227.9077	4.6391484e-11	0.30769232	0.07692308	1248.0	0.0013866666666666667	0.8053301	900000	1.3224284e-08	0.106233805	7.6293946e-07	-0.0068306956	-0.04784391	-0.17851853	0.8672229	0.015777202	3226.3332505226135
30	2.624629	241.69106	2.7116743e-14	0.5121951	0.07317073	1311.0	0.0014096774193548386	0.8634321	930000	-1.2715658e-08	0.0861408	-3.1013798e-07	-0.0073107346	-0.024071354	-0.13836507	0.8630692	0.01446747	3370.0328595638275
31	2.63732	221.2388	6.873191e-26	0.3880597	0.07462686	1363.0	0.0014197916666666666	0.86190873	960000	1.525879e-09	0.10335533	-2.846789e-07	-0.0036591035	-0.04033596	-0.083758965	0.8577852	0.010234306	3490.7358055114746
32	2.5323906	282.76416	1.1257047e-17	0.11320755	0.06603774	1375.0	0.001388888888888889	0.78896016	990000	-1.0172526e-09	0.31197584	0.0	-0.009043248	-0.115247875	-0.13340747	0.8545752	0.009683167	3627.0943076610565
33	2.4554014	235.696	1.85416e-08	0.216	0.064	1402.0	0.0013745098039215685	0.79222995	1020000	8.138021e-09	0.28088918	-2.4414064e-07	-0.009715402	-0.18551847	-0.12295786	0.8558655	0.012758387	3772.0664331912994
34	2.2997491	197.81334	0.00011627052	0.24	0.046666667	1438.0	0.0013695238095238096	0.7798842	1050000	8.646647e-09	0.14294632	8.90096e-08	-0.009786884	-0.065371566	-0.09299328	0.85533524	0.015663825	3922.3197150230408
35	2.4866343	215.27338	0.10513029	1.8489208	0.0647482	1695.0	0.0015694444444444445	0.87068224	1080000	-1.2715658e-08	0.19568482	1.234974e-07	-0.007571189	-0.12180318	-0.13866696	0.8542319	0.014155928	4048.966826438904
36	2.4395769	228.8626	2.8015617e-34	0.519084	0.06870229	1763.0	0.0015882882882882882	0.7996561	1110000	9.155274e-09	0.15417372	-1.4559913e-08	-0.0050550783	-0.073829934	-0.20988682	0.8580771	0.019344019	4188.15621471405
37	2.0769455	229.07692	0.0023846284	0.15384616	0.03076923	1783.0	0.0015640350877192983	0.73178214	1140000	-2.7974447e-09	0.43025717	-8.803148e-08	-0.009523292	-0.2631836	-0.14576389	0.85893947	0.010993925	4320.670835971832
