Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
0	-0.013833081	991.93335	0.0	0.23333333	0.06666667	7.0	0.00023333333333333333	0.02623032	30000	-5.086263e-10	0.030823527	-9.536743e-07	-0.0018667977	-0.014201283	-0.079133004	0.91893816	0.012947364	124.47227144241333
1	0.2923083	919.1875	0.0	0.4375	0.125	21.0	0.00035	-0.0010353834	60000	-1.3224284e-08	0.032016724	-3.5762787e-07	-0.002564499	-0.0075073484	-0.07678282	0.91896266	0.017644592	249.753009557724
2	0.8928592	829.8611	0.0	0.22222222	0.055555556	29.0	0.0003222222222222222	0.053529553	90000	0.0	0.047129367	-5.8280096e-07	-0.0038202729	-0.010744479	-0.026031442	0.9189221	0.009620811	385.8871762752533
3	0.6200876	815.1389	0.0	0.30555555	0.11111111	41.0	0.00034166666666666666	0.059165917	120000	-2.0345052e-09	0.04020658	1.05963814e-07	-0.0006704468	-0.009620814	-0.0009073681	0.91932184	1.3947871e-05	530.1175508499146
4	0.6985614	906.0606	0.0	0.27272728	0.09090909	50.0	0.0003333333333333333	0.0634401	150000	2.5431315e-10	0.023298707	1.300465e-07	-0.004261034	-0.003529843	-0.32838777	0.9192522	0.014562065	675.7420489788055
5	0.68134147	845.6	7.286925e-33	0.42857143	0.057142857	65.0	0.0003611111111111111	0.06373566	180000	6.866455e-09	0.031145768	-1.6348703e-07	-0.0059342124	-0.0044647716	-0.059445355	0.9190633	0.01667368	836.0883872509003
6	1.2248638	803.2432	5.2830403e-16	0.8648649	0.1891892	97.0	0.0004619047619047619	0.10495258	210000	-2.0345052e-09	0.04341251	-5.1549964e-08	-0.0048231874	-0.020622997	-0.110606685	0.9185837	0.011102657	1026.6473762989044
7	1.525519	629.65955	1.513e-42	0.21276596	0.04255319	107.0	0.00044583333333333335	0.20938572	240000	3.5603842e-09	0.026403362	1.8769121e-07	-0.00463091	-0.0020248499	-0.089434825	0.9187859	0.0143800685	1221.900771856308
8	1.7021374	632.1957	6.2806143e-16	0.8913044	0.10869565	148.0	0.0005481481481481482	0.20627998	270000	2.0345052e-09	0.039374284	-2.073205e-08	-0.0049233986	-0.011385478	-0.14327806	0.9176494	0.01110131	1420.6171560287476
9	1.7948121	602.69385	0.00015748461	0.08163265	0.06122449	152.0	0.0005066666666666667	0.2492927	300000	1.0172526e-09	0.034949843	1.5570193e-07	-0.010218586	-0.006759433	-0.13791461	0.9148991	0.013065444	1621.334801197052
