Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCostRet	StdEpCostRet	MaxEpCostRet	MinEpCostRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-0.7667199	0.8841119	1.1124461	-2.6035082	1000.0	4.8574082e-11	2.615711e-10	1.4571773e-09	0.0	7.0193315	13.6379385	50.31163	0.0	210.57993	0.007019330851236979	0.059738893	0.12880813	0.54459494	-0.4591726	30000	1.8310548e-08	0.06451334	-0.02065582	-0.030944314	0.9189386	0.015112257	1109.0331659317017
1	-0.6191022	0.73863596	0.6218431	-2.4934356	1000.0	0.0078528365	0.04228882	0.2355851	0.0	4.7651052	8.149397	28.665432	0.0	353.53308	0.005892218017578125	-0.022550773	0.057949167	0.19358438	-0.2325333	60000	-5.086263e-09	0.02906735	-0.020543087	-0.0022695325	0.9189978	0.0097675705	2294.2728168964386
2	-0.967561	0.72651213	0.5687763	-2.7506053	1000.0	0.003355352	0.018069128	0.10066056	0.0	1.0509669	3.2191672	16.170969	0.0	385.0621	0.004278467814127604	-0.0592275	0.064491056	0.115814514	-0.37321737	90000	-6.103516e-09	0.03427967	-0.024416266	-0.0034638587	0.918131	0.01801543	3508.8492488861084
3	-1.0636752	0.83645153	1.0544049	-2.4754007	1000.0	3.989511e-08	2.1484173e-07	1.1968533e-06	0.0	4.3338337	10.341799	46.69773	0.0	515.0771	0.004292309061686198	-0.06595102	0.03660481	0.06298518	-0.27537182	120000	-3.051758e-09	0.038820077	-0.027216008	-0.0028239675	0.91816604	0.017903015	4678.805912494659
4	-0.7619981	0.70312876	0.8943102	-1.8032078	1000.0	0.00014254385	0.0007676073	0.0042762365	0.0	5.3879423	11.308366	46.613106	0.0	676.7154	0.004511435953776042	-0.075783886	0.06451293	0.13754277	-0.49343416	150000	-1.5767416e-08	0.030805355	-0.027990935	-0.0038905963	0.9181418	0.011781726	5862.823127031326
5	-0.85622233	0.85998785	0.87128216	-2.32667	1000.0	3.1606681e-12	1.702072e-11	9.482004e-11	0.0	3.5529754	5.958394	20.23346	0.0	783.3046	0.004351692369249132	-0.06580468	0.042315077	0.09951182	-0.307029	180000	0.0	0.034125745	-0.027911715	-0.0029586013	0.9181158	0.012369387	7077.750510454178
6	-0.93969154	0.7777477	0.7302046	-2.7600024	1000.0	5.2601256e-13	2.8326644e-12	1.5780377e-11	0.0	1.6244488	6.16865	34.10858	0.0	832.0381	0.003962086123511905	-0.07287996	0.0499413	0.10113308	-0.25410482	210000	6.103516e-09	0.03239128	-0.03679931	-0.0025428217	0.9187521	0.020407517	8298.974071741104
7	-0.92255485	0.5766283	0.12899011	-2.331944	1000.0	0.00013852032	0.0007459549	0.0041556098	0.0	3.3535154	6.3161473	23.448149	0.0	932.64355	0.0038860148111979167	-0.082705684	0.07381318	0.09672696	-0.5985898	240000	-2.0345052e-09	0.031007722	-0.037236825	-0.0031951405	0.91826665	0.017228754	9448.404174566269
8	-0.6073684	0.8481451	0.632577	-2.8004649	1000.0	6.9661624e-11	3.751393e-10	2.0898487e-09	0.0	4.751626	11.560871	54.32992	0.0	1075.1924	0.003982194010416666	-0.07897789	0.07987545	0.11960432	-0.41450015	270000	-1.6276042e-08	0.033824775	-0.035507467	-0.005645411	0.9185473	0.014495741	10666.382881879807
9	-0.9937932	0.80172724	0.4279259	-2.5469358	1000.0	1.5228321e-10	8.181937e-10	4.5583795e-09	0.0	4.1155806	9.73281	47.112007	0.0	1198.6598	0.003995532633463542	-0.048066374	0.052954845	0.123735756	-0.31901854	300000	-8.646647e-09	0.030642183	-0.03609555	-0.0023171548	0.9188024	0.013959837	11883.119258403778
