Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
0	0.18516332	879.8485	3.3691016e-05	0.54545456	0.15151516	18.0	0.0006	-0.06505941	30000	-1.3224284e-08	0.16736417	1.0259224e-06	-0.0011307031	-0.07811105	-0.0491282	0.91893816	0.012017308	119.87560176849365
1	0.015575983	928.03125	1.2943926e-20	0.6875	0.15625	40.0	0.0006666666666666666	-0.0032348032	60000	-1.0172526e-08	0.06374161	5.9604645e-08	-0.0011323884	-0.016636856	-0.034004927	0.9175285	0.010422372	239.2798273563385
2	0.39220995	935.125	0.0054586544	1.03125	0.1875	73.0	0.0008111111111111111	0.021774571	90000	1.1698405e-08	0.05646682	0.0	-0.006912886	-0.01130937	-0.150689	0.9171771	0.012497859	366.10281133651733
3	0.61404365	869.5	0.0	0.5882353	0.11764706	97.0	0.0008083333333333333	0.044236742	120000	-1.6784668e-08	0.0860224	2.594555e-07	-0.00048581033	-0.01409927	-0.79625875	0.9182771	0.018945126	501.3179349899292
4	0.7960938	777.4211	1.1955218e-15	1.5526316	0.21052632	160.0	0.0010666666666666667	0.11027617	150000	-6.612142e-09	0.094557256	1.7567685e-07	-0.004578229	-0.013820261	-0.003366734	0.91809255	0.019416085	638.4728264808655
5	0.67371863	864.9706	0.00018904466	2.735294	0.3529412	253.0	0.0014055555555555555	0.059954125	180000	-6.103516e-09	0.110586785	-2.8049246e-07	-0.0025259624	-0.016202226	-0.010789647	0.9178412	0.0010161294	786.6294569969177
6	1.0266124	784.0541	1.5024485e-35	2.0	0.2972973	327.0	0.0015571428571428572	0.13585648	210000	2.5431315e-09	0.1039583	0.0	-0.0027650534	-0.009672575	-0.22164164	0.91830313	0.012486341	972.6200866699219
7	1.3155941	653.8444	2.3291128e-11	0.95555556	0.2	373.0	0.0015541666666666666	0.1298407	240000	-6.103516e-09	0.09020004	3.390842e-07	-0.0044498616	-0.03420089	-0.015705025	0.9168701	0.007667309	1169.4554936885834
8	1.4638095	645.73334	1.8777555e-12	1.6666666	0.24444444	448.0	0.0016592592592592592	0.19134627	270000	7.1207684e-09	0.077158235	4.2385526e-08	-0.004042502	-0.027662873	-0.009076226	0.9170942	0.0061975326	1366.4582314491272
9	1.2015522	630.8936	0.011965461	0.82978725	0.17021276	487.0	0.0016233333333333334	0.2425408	300000	3.051758e-09	0.0686737	4.8698263e-07	-0.0054413667	-0.02938161	-0.042448085	0.9160443	0.010467888	1569.019341468811
10	1.6089215	681.7273	2.7290537e-07	1.5	0.22727273	553.0	0.0016757575757575757	0.19597828	330000	0.0	0.067025006	0.0	-0.011582855	-0.02252112	-0.18947351	0.9156181	0.01900003	1775.1808004379272
11	1.6611242	622.1458	1.9217813e-08	2.0416667	0.29166666	651.0	0.0018083333333333332	0.2520358	360000	-6.612142e-09	0.059916485	-1.9868216e-07	-0.0066623096	-0.019965861	-0.282408	0.9167733	0.011556313	1990.5229034423828
12	1.5527029	592.16327	8.074097e-10	0.81632656	0.1632653	691.0	0.001771794871794872	0.22376339	390000	2.5431315e-09	0.04730214	-7.3958415e-07	-0.006462929	-0.015568636	-0.14929856	0.9186793	0.015438947	2206.4391713142395
13	1.5320853	550.6604	8.0434364e-07	0.754717	0.13207547	731.0	0.0017404761904761905	0.21848913	420000	4.83195e-09	0.051612988	-3.238894e-07	-0.0030670958	-0.016343106	-0.07881291	0.9159525	0.0094322525	2434.3139951229095
14	1.6182674	528.0182	4.8091e-08	0.7090909	0.14545454	770.0	0.0017111111111111112	0.28850767	450000	9.155274e-09	0.046675652	-1.3004649e-07	-0.0077642538	-0.0071991384	-0.06420948	0.9167107	0.017527318	2648.009856700897
15	1.9746199	439.50748	0.022360027	0.25373134	0.05970149	787.0	0.0016395833333333334	0.3394477	480000	1.0172526e-09	0.039066695	-2.846789e-07	-0.006048515	-0.009870991	-0.12290528	0.9159443	0.013292015	2879.690539598465
16	1.7335865	482.6129	9.844196e-38	0.38709676	0.11290322	811.0	0.0015901960784313726	0.27630836	510000	2.0345052e-09	0.0500013	0.0	-0.007383514	-0.019623103	-0.13068894	0.9141057	0.010635714	3111.450620651245
17	2.1842904	415.21127	1.125e-42	1.3802817	0.15492958	909.0	0.0016833333333333333	0.4704175	540000	-4.0690105e-09	0.043667525	3.2236878e-07	-0.0057033133	-0.018168809	-0.09778509	0.9136106	0.008308747	3351.067939519882
18	2.1353788	426.2143	1.9425615e-17	0.6	0.071428575	951.0	0.001668421052631579	0.41255045	570000	-1.1189779e-08	0.030001562	1.2261528e-07	-0.008563002	-0.009203542	-0.16105406	0.91377956	0.011531813	3583.2153737545013
19	2.3133948	361.24097	2.061e-41	0.22891566	0.060240965	970.0	0.0016166666666666666	0.51079303	600000	-9.155274e-09	0.04604013	-2.4129108e-07	-0.0044339127	-0.019655818	-0.19822188	0.9113033	0.013787027	3826.8147683143616
20	1.628069	381.47437	0.002619788	0.53846157	0.08974359	1012.0	0.0016063492063492064	0.44796845	630000	4.0690105e-09	0.07680706	2.2007869e-07	-0.009885023	-0.039375417	-0.018442472	0.9091755	0.0053548855	4068.727387905121
21	1.8980701	393.9079	2.1118913e-34	0.23684211	0.05263158	1030.0	0.0015606060606060605	0.34006816	660000	7.629395e-09	0.04445051	5.0193385e-08	-0.010864792	-0.017259235	-0.08216472	0.90946	0.013512807	4300.461970329285
22	2.3023868	322.3656	0.018137949	0.58064514	0.09677419	1084.0	0.0015710144927536232	0.5239382	690000	-3.5603842e-09	0.047960766	3.8967337e-07	-0.009778074	-0.02743615	-0.2016231	0.90937734	0.01910892	4550.162583112717
23	2.3856647	272.32727	4.296002e-12	0.21818182	0.06363636	1108.0	0.001538888888888889	0.65324664	720000	6.103516e-09	0.033469867	-2.8610228e-07	-0.009739723	-0.014443336	-0.15009993	0.90574586	0.011014357	4813.094131946564
24	2.632473	311.91666	3.1030783e-08	0.7395833	0.09375	1180.0	0.0015733333333333333	0.66325927	750000	-4.0690105e-09	0.03865372	-1.5894572e-07	-0.0047361683	-0.0156200975	-0.16248973	0.9007108	0.015783655	5053.621882200241
25	2.4565847	267.55045	2.939605e-10	0.17431192	0.08256881	1199.0	0.0015371794871794871	0.7305868	780000	-5.086263e-10	0.047300078	8.749305e-09	-0.006462418	-0.022249142	-0.16207945	0.89330107	0.011203793	5306.857687473297
26	2.4580355	236.5	0.0150867645	0.45238096	0.11111111	1256.0	0.0015506172839506174	0.77853405	810000	1.1444092e-08	0.034136962	0.0	-0.0048864475	-0.0153832715	-0.12632164	0.88900936	0.016791753	5578.170589923859
27	2.5625403	251.05042	2.2346929e-05	0.30252102	0.084033616	1292.0	0.0015380952380952381	0.8085896	840000	3.051758e-09	0.024252348	5.6098493e-08	-0.009543825	-0.0074219387	-0.17318156	0.8860704	0.015720915	5828.97317647934
28	2.4619772	219.55147	8.234247e-15	0.13970588	0.066176474	1311.0	0.001506896551724138	0.84659296	870000	7.629395e-10	0.03562818	-1.1219698e-07	-0.0032931655	-0.017821759	-0.16106947	0.8825391	0.01631449	6090.791697740555
29	2.3664446	254.5431	6.744531e-13	0.43103448	0.060344826	1361.0	0.0015122222222222223	0.7075671	900000	-4.0690105e-09	0.040307418	3.9462384e-07	-0.011899205	-0.019597733	-0.1309224	0.87735236	0.012976922	6348.5500457286835
30	2.5529492	221.1037	0.004313239	0.37037036	0.05185185	1411.0	0.0015172043010752687	0.80622864	930000	-8.138021e-09	0.028349133	0.0	-0.013869223	-0.00925063	-0.22128573	0.8702901	0.015815929	6608.581876277924
31	2.4516664	252.05042	3.022331e-26	0.23529412	0.042016808	1439.0	0.0014989583333333333	0.7115744	960000	1.0172526e-08	0.047127362	2.5645025e-07	-0.012933065	-0.01979245	-0.15567459	0.86652046	0.013355454	6865.623190879822
