Epoch	EpRet	EpLen	EpCostRet	EpCost	EpMaxCost	CumulativeCost	CostRate	VVals	TotalEnvInteracts	LossPi	LossV	LossCost	DeltaLossPi	DeltaLossV	DeltaLossCost	Entropy	KL	Time
22	2.455717	340.07956	3.6459044e-18	0.79545456	0.17045455	783.0	0.0011347826086956522	0.64821804	690000	-5.086263e-09	0.077623986	3.1427905e-07	-0.0075109415	-0.025973368	-0.13385995	0.8761063	0.013972432	2585.4535479545593
23	2.3568945	239.248	4.0796916e-08	0.312	0.088	822.0	0.0011416666666666667	0.7092536	720000	-2.0345052e-09	0.05936272	-7.629395e-08	-0.006923636	-0.014747132	-0.09993386	0.87550247	0.012288549	2730.720021009445
24	2.2866633	269.82727	1.7109204e-06	1.0363636	0.10909091	936.0	0.001248	0.7027706	750000	-1.3224284e-08	0.098939985	-2.7743252e-07	-0.0019793299	-0.0313287	-0.11100845	0.8772921	0.017524125	2868.9654643535614
25	2.1864612	332.62222	0.003481351	0.9777778	0.15555556	1024.0	0.0013128205128205127	0.6111617	780000	9.155274e-09	0.13808519	-1.05963815e-08	-0.0041837017	-0.042392112	-0.16822094	0.872531	0.014893236	2997.265364408493
26	2.2585907	378.9114	3.4437042e-05	0.75949365	0.17721519	1084.0	0.0013382716049382716	0.51419175	810000	1.0172526e-09	0.13287173	1.9314923e-07	-0.011352886	-0.04280617	-0.19215158	0.87100095	0.01970885	3119.819330215454
27	2.4164598	312.15625	0.0003813577	0.8020833	0.1875	1161.0	0.0013821428571428572	0.56849533	840000	1.1189779e-08	0.12551935	-9.934108e-08	-0.010685257	-0.054951854	-0.16919965	0.87239957	0.013267937	3243.5809364318848
28	2.3701472	261.8509	6.6071304e-10	0.5614035	0.10526316	1225.0	0.0014080459770114942	0.65402675	870000	-4.577637e-09	0.09495868	0.0	-0.011621757	-0.044667833	-0.15239026	0.87199986	0.014698193	3384.628247022629
29	2.416476	217.23914	1.1014093e-19	0.45652175	0.072463766	1288.0	0.001431111111111111	0.7379344	900000	2.0853678e-08	0.09154309	-2.7642734e-08	-0.017332261	-0.03596384	-0.05530783	0.86829567	0.01950044	3497.7859966754913
30	2.5391185	200.92517	3.9336291e-13	0.2993197	0.07482993	1332.0	0.001432258064516129	0.82867306	930000	-1.93278e-08	0.06268645	3.1140385e-07	-0.008235986	-0.03086638	-0.13210322	0.8617543	0.013425373	3629.000416278839
31	2.5429308	171.16571	4.626816e-08	0.22857143	0.045714285	1372.0	0.0014291666666666667	0.9727432	960000	-8.138021e-09	0.031866387	-7.4114115e-07	-0.011511406	-0.013243161	-0.089132674	0.85754085	0.013695838	3796.5880510807037
32	2.52368	171.5747	3.1483463e-08	0.3275862	0.07471264	1429.0	0.0014434343434343434	0.96074086	990000	-1.0426839e-08	0.06061986	-5.3712694e-07	-0.011258008	-0.03869707	-0.028923534	0.8528376	0.015643073	3957.896852493286
33	2.6136043	168.19101	1.8567915e-11	0.28651685	0.056179777	1480.0	0.0014509803921568627	1.0312799	1020000	-1.525879e-08	0.028128793	-1.0715442e-07	-0.014158216	-0.008083468	-0.10225718	0.8511366	0.018998818	4128.408500909805
34	2.5233734	146.26108	6.2658487e-22	0.15270936	0.03448276	1511.0	0.001439047619047619	1.0545417	1050000	-1.3987224e-08	0.02152133	-1.12749674e-07	-0.0069159083	-0.0077434406	-0.11757028	0.8467624	0.012143789	4310.497811555862
35	2.7103605	169.18645	9.664998e-26	0.14124294	0.06214689	1536.0	0.0014222222222222223	1.0627322	1080000	-8.392334e-09	0.021577122	-3.7715932e-07	-0.008913899	-0.005279241	-0.14125906	0.83892447	0.015797257	4480.302376747131
36	2.5152895	151.0202	1.1692064e-12	0.28787878	0.05050505	1593.0	0.0014351351351351352	1.0811918	1110000	1.0172526e-09	0.03068625	1.5412918e-07	-0.010031743	-0.00841772	-0.11647396	0.83601135	0.017506901	4661.778959512711
37	2.4888768	146.9804	2.824719e-19	0.11764706	0.04411765	1617.0	0.001418421052631579	1.0739585	1140000	-1.2207032e-08	0.031965557	-3.459407e-07	-0.007759819	-0.009429388	-0.12923639	0.82386714	0.012751404	4849.049040555954
38	2.635679	151.73096	2.1322625e-28	0.040609136	0.030456852	1625.0	0.001388888888888889	1.0987016	1170000	-1.0681153e-08	0.026883176	1.4522959e-07	-0.0074484036	-0.0072301906	-0.106208876	0.819608	0.012971472	5012.910211086273
39	2.536265	135.93088	1.3776041e-30	0.10138249	0.032258064	1647.0	0.0013725	1.1342775	1200000	4.0690105e-09	0.025907071	-8.789625e-09	-0.012553003	-0.005862646	-0.15630554	0.81499374	0.018087521	5203.47495174408
40	2.5657918	144.78745	1.5189336e-25	0.10144927	0.04347826	1668.0	0.0013560975609756098	1.1165689	1230000	4.0690105e-09	0.04101236	-8.29282e-08	-0.008714978	-0.012304608	-0.12594149	0.810299	0.012048413	5389.223242521286
41	2.589506	139.45116	1.3842578e-17	0.09767442	0.03255814	1689.0	0.0013404761904761905	1.110168	1260000	1.1189779e-08	0.027424116	1.4194222e-07	-0.02424943	-0.009111516	-0.069973186	0.8056233	0.016034916	5564.946055173874
42	2.5619783	138.53703	5.8956594e-13	0.106481485	0.046296295	1712.0	0.0013271317829457365	1.131403	1290000	-9.155274e-09	0.02662453	2.1192763e-07	-0.00992758	-0.0070388224	-0.1263418	0.79849696	0.015137826	5727.059536933899
