Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCostRet	StdEpCostRet	MaxEpCostRet	MinEpCostRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
17	-0.8093914	0.765956	0.5737207	-2.3691216	1000.0	1.0105994e-06	5.44224e-06	3.031796e-05	0.0	10.2892065	18.122082	62.695324	0.0	3157.6287	0.005847460485387731	-0.080673486	0.0695817	0.14026293	-0.48855135	540000	1.2207032e-08	0.032943454	-0.049867958	-0.0038470197	0.91691744	0.017322728	20860.998398542404
18	-1.0493898	0.7885602	0.68784857	-2.342282	1000.0	1.8915518e-12	1.0186317e-11	5.6746552e-11	0.0	5.6438446	11.731597	58.313362	0.0	3326.9438	0.005836743592379386	-0.044382986	0.06684695	0.13631994	-0.47719386	570000	1.0172526e-08	0.043222398	-0.051138736	-0.0051044933	0.9173394	0.016657002	21911.593027114868
19	-0.7449178	0.7358529	0.6194696	-1.9830726	1000.0	1.0229256e-06	5.508624e-06	3.068777e-05	0.0	5.2196317	8.48748	29.263529	0.0	3483.533	0.005805888264973958	-0.077998355	0.06271955	0.10311483	-0.5144755	600000	5.086263e-09	0.03185423	-0.053561714	-0.004298294	0.91869897	0.017949568	22993.60842704773
20	-0.6362658	0.8282049	1.0853906	-2.663762	1000.0	5.9076273e-12	3.1813434e-11	1.7722822e-10	0.0	7.1214237	12.734364	47.32276	0.0	3697.1755	0.00586853259858631	-0.048307464	0.055498414	0.13422003	-0.33773762	630000	-3.051758e-09	0.0360077	-0.053455308	-0.0034327917	0.9191972	0.018540049	24084.104984760284
21	-0.72259337	0.6847167	0.5102453	-2.3899095	1000.0	9.3345555e-20	5.0268004e-19	2.8003602e-18	0.0	6.406013	14.562562	65.35473	0.0	3889.356	0.00589296357125947	-0.047112245	0.05697603	0.12111659	-0.3464433	660000	1.0172526e-08	0.027861055	-0.050818253	-0.0020687785	0.9194969	0.017837554	25204.975586891174
22	-0.8961203	0.76298577	0.59357566	-2.6573741	1000.0	1.3513866e-10	7.277441e-10	4.05416e-09	0.0	3.7796736	11.537757	51.32926	0.0	4002.746	0.005801081295289855	-0.06133736	0.054241046	0.109157324	-0.3477158	690000	-6.103516e-09	0.03066824	-0.053847414	-0.0027556252	0.92029965	0.016414015	26211.31348156929
23	-0.9158258	0.7434351	0.30655912	-2.2480283	1000.0	0.0005717302	0.0030786702	0.017150879	0.0	4.806344	8.4991255	40.300373	0.0	4146.9365	0.005759634060329861	-0.055051383	0.067875095	0.15345292	-0.52238417	720000	1.0681153e-08	0.030665403	-0.054747563	-0.0029307194	0.92107993	0.019443844	27272.337739944458
24	-0.74807155	0.83078367	0.89061815	-2.7820423	1000.0	6.5985035e-09	3.5523836e-08	1.9790018e-07	0.0	6.1389174	14.973317	61.182243	0.0	4331.104	0.005774805338541667	-0.08761529	0.10926763	0.15959096	-0.7396864	750000	3.051758e-09	0.038353097	-0.05501605	-0.007813998	0.9207392	0.01554681	28356.56544995308
25	-0.8389663	0.79922813	0.8840753	-2.2014773	1000.0	2.7431527e-08	1.241153e-07	6.817441e-07	0.0	3.355837	6.9233027	28.588688	0.0	4431.7793	0.005681768329326923	-0.04319895	0.07070755	0.15715331	-0.60755736	780000	6.103516e-09	0.04023902	-0.052530516	-0.0051871985	0.9211284	0.01597883	29370.612466096878
26	-0.62882864	0.91562104	0.5451146	-3.0685248	1000.0	1.0058016e-05	5.40639e-05	0.00030120052	0.0	7.460363	16.166576	82.500275	0.0	4655.59	0.0057476417824074075	-0.048481755	0.056743722	0.110242255	-0.46815977	810000	-4.0690105e-09	0.03258602	-0.05364216	-0.0035656802	0.9200702	0.016238198	30449.501898527145
27	-0.45440242	0.75693	0.79356045	-2.4123623	1000.0	1.8983537e-13	1.0222948e-12	5.6950607e-12	0.0	6.2098327	11.542703	47.312756	0.0	4841.885	0.005764148530505953	-0.054635927	0.070155084	0.1515535	-0.48776042	840000	-1.3224284e-08	0.031176038	-0.058097333	-0.0040439535	0.9206006	0.015969338	31461.469737529755
28	-0.8016289	0.71225655	1.089348	-1.8548117	1000.0	4.473595e-24	0.0	1.3420786e-22	0.0	1.8749577	7.2815495	39.729065	0.0	4898.134	0.005630038838002873	-0.027459193	0.06384144	0.14333607	-0.40940306	870000	5.086263e-09	0.03159562	-0.055537757	-0.003179945	0.92087394	0.01570768	32486.908194065094
29	-0.8179111	0.91575277	0.518059	-2.4859767	1000.0	5.1478147e-13	2.7721833e-12	1.5443443e-11	0.0	2.3781447	5.216723	21.881958	0.0	4969.478	0.005521642252604167	-0.045362473	0.051448036	0.110002324	-0.38847977	900000	-1.8310548e-08	0.03779219	-0.055677336	-0.002978664	0.9210469	0.014336554	33491.527641534805
